Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Lazar Hayward,0.03,0.13,0.08,0.1,0.02,0.01,0.09,0.3,0.19,0.37,0.34,0.79,198,102
Leandro Barbosa,0.02,0.08,0.05,0.14,0.02,0.01,0.11,0.44,0.36,0.48,0.5,0.82,190,87
LeBron James,0.04,0.19,0.12,0.37,0.02,0.02,0.13,0.52,0.35,0.57,0.56,0.74,203,113
Leon Powe,0.11,0.17,0.14,0.03,0.01,0.01,0.1,0.5,0,0.51,0.5,0.6,203,108
Lester Hudson,0.03,0.1,0.07,0.18,0.03,0.01,0.18,0.36,0.34,0.38,0.43,0.77,190,86
Linas Kleiza,0.05,0.15,0.1,0.07,0.01,0.01,0.11,0.42,0.32,0.48,0.49,0.76,203,111
Lindsey Hunter,0.01,0.07,0.04,0.18,0.03,0,0.15,0.28,0.23,0.32,0.34,0.79,188,77
Linton Johnson,0.06,0.11,0.09,0.08,0,0,0.19,0.42,0.37,0.43,0.45,1,203,92
Loren Woods,0,0.07,0.03,0.2,0,0,0,0.6,,0.6,0.6,,216,111
Lorenzen Wright,0.07,0.15,0.11,0.05,0.01,0.02,0.2,0.3,,0.3,0.3,0.46,188,92
Lorenzo Brown,0.02,0.12,0.07,0.27,0.03,0.01,0.2,0.35,0.15,0.44,0.37,0.69,196,85
Lou Amundson,0.15,0.16,0.16,0.05,0.01,0.03,0.16,0.41,0,0.41,0.41,0.41,206,99
Lou Williams,0.02,0.09,0.05,0.2,0.02,0.01,0.11,0.42,0.35,0.46,0.48,0.84,206,90
Luc Mbah,0.07,0.13,0.1,0.06,0.02,0.01,0.13,0.46,0.25,0.48,0.48,0.65,201,99
Lucas Nogueira,0.09,0.25,0.17,0.06,0.03,0.04,0.18,0.52,0.29,0.53,0.52,0.56,213,109
Luigi Datome,0.04,0.16,0.1,0.11,0.01,0.01,0.1,0.44,0.34,0.5,0.51,0.93,203,97
Luis Montero,0,0.1,0.05,0.04,0,0,0.16,0.26,0.11,0.4,0.29,0.75,201,83
Luis Scola,0.08,0.21,0.15,0.11,0.01,0.01,0.12,0.49,0.15,0.5,0.5,0.73,206,108
Luke Babbitt,0.03,0.17,0.1,0.07,0.01,0.01,0.1,0.39,0.38,0.39,0.5,0.7,206,102
Luke Harangody,0.08,0.18,0.13,0.07,0.01,0.02,0.06,0.38,0.23,0.44,0.41,0.72,203,111
